transaction_id,customer_id,product_id,product_name,category,quantity,unit_price,amount,payment_method,status,transaction_timestamp,city
T0025094,C04252,P021,Cricket Bat,Sports,5,4660,23300,CARD,PENDING,2026-08-22 17:10:33,Pune
T0025095,C03964,P025,Running Shoes,Sports,4,3712,14848,COD,FAILED,2026-08-22 05:20:42,Kolkata
T0025096,C02636,P003,Headphones,Electronics,1,2913,2913,COD,SUCCESS,2026-08-22 11:40:27,Chennai
T0025097,C01993,P002,Mobile,Electronics,3,25340,76020,WALLET,SUCCESS,2026-08-22 00:25:59,Noida
T0025098,C01890,P016,Chair,Home,3,3756,11268,NETBANKING,SUCCESS,2026-08-22 12:13:55,Bangalore
T0025099,C01743,P004,Television,Electronics,5,32487,162435,UPI,FAILED,2026-08-22 16:08:33,Bangalore
T0025100,C04533,P015,Tea,Grocery,1,533,533,COD,SUCCESS,2026-08-22 18:34:23,Pune
T0025101,C00114,P013,Dry Fruits,Grocery,4,1275,5100,COD,SUCCESS,2026-08-22 13:48:07,Kolkata
T0025102,C03580,P019,Bedsheet,Home,2,1526,3052,COD,SUCCESS,2026-08-22 08:44:46,Bangalore
T0025103,C02805,P005,Smartwatch,Electronics,3,6031,18093,COD,FAILED,2026-08-22 17:48:04,Kolkata
T0025104,C00603,P010,Backpack,Fashion,4,1779,7116,UPI,SUCCESS,2026-08-22 08:45:58,Bangalore
T0025105,C00995,P016,Chair,Home,4,4120,16480,WALLET,SUCCESS,2026-08-22 17:32:03,Mumbai
T0025106,C01120,P025,Running Shoes,Sports,5,3672,18360,WALLET,SUCCESS,2026-08-22 21:58:11,Delhi
T0025107,C03461,P015,Tea,Grocery,3,535,1605,WALLET,SUCCESS,2026-08-22 19:13:45,Ahmedabad
T0025108,C01251,P008,Jacket,Fashion,1,2989,2989,WALLET,SUCCESS,2026-08-22 22:22:02,Bangalore
T0025109,C04035,P012,Cooking Oil,Grocery,5,914,4570,NETBANKING,PENDING,2026-08-22 12:13:14,Chennai
T0025110,C00316,P021,Cricket Bat,Sports,3,4780,14340,UPI,SUCCESS,2026-08-22 01:21:26,Ahmedabad
T0025111,C02229,P020,Cookware,Home,5,2527,12635,NETBANKING,SUCCESS,2026-08-22 21:27:14,Ahmedabad
T0025112,C01561,P009,T-Shirt,Fashion,5,816,4080,COD,SUCCESS,2026-08-22 20:59:38,Hyderabad
T0025113,C03338,P020,Cookware,Home,1,2603,2603,COD,SUCCESS,2026-08-22 06:43:50,Jaipur
T0025114,C03000,P016,Chair,Home,1,4059,4059,WALLET,SUCCESS,2026-08-22 01:08:29,Noida
T0025115,C03168,P013,Dry Fruits,Grocery,1,1360,1360,COD,PENDING,2026-08-22 00:54:31,Jaipur
T0025116,C00811,P005,Smartwatch,Electronics,4,5781,23124,NETBANKING,SUCCESS,2026-08-22 15:26:09,Noida
T0025117,C03328,P002,Mobile,Electronics,3,18988,56964,COD,SUCCESS,2026-08-22 21:47:06,Chennai
T0025118,C00957,P013,Dry Fruits,Grocery,4,1204,4816,WALLET,SUCCESS,2026-08-22 03:28:50,Chennai
T0025119,C03199,P010,Backpack,Fashion,4,1474,5896,COD,SUCCESS,2026-08-22 20:21:43,Noida
T0025120,C00648,P012,Cooking Oil,Grocery,2,983,1966,COD,SUCCESS,2026-08-22 16:31:51,Pune
T0025121,C04390,P012,Cooking Oil,Grocery,1,846,846,NETBANKING,SUCCESS,2026-08-22 14:28:08,Kolkata
T0025122,C04743,P007,Jeans,Fashion,5,1674,8370,NETBANKING,SUCCESS,2026-08-22 11:37:11,Delhi
T0025123,C04047,P018,Lamp,Home,2,1202,2404,UPI,SUCCESS,2026-08-22 14:57:40,Jaipur
T0025124,C01090,P007,Jeans,Fashion,4,1535,6140,UPI,SUCCESS,2026-08-22 13:45:48,Jaipur
T0025125,C00996,P004,Television,Electronics,3,28957,86871,UPI,SUCCESS,2026-08-22 14:32:02,Noida
T0025126,C01436,P018,Lamp,Home,3,1397,4191,WALLET,SUCCESS,2026-08-22 05:46:38,Mumbai
T0025127,C02565,P009,T-Shirt,Fashion,5,1002,5010,NETBANKING,SUCCESS,2026-08-22 07:22:18,Bangalore
T0025128,C03265,P008,Jacket,Fashion,1,3219,3219,CARD,SUCCESS,2026-08-22 15:58:12,Ahmedabad
T0025129,C03656,P020,Cookware,Home,5,2672,13360,NETBANKING,SUCCESS,2026-08-22 22:20:30,Ahmedabad
T0025130,C04938,P020,Cookware,Home,4,3295,13180,CARD,SUCCESS,2026-08-22 06:32:43,Pune
T0025131,C01502,P005,Smartwatch,Electronics,5,6283,31415,WALLET,SUCCESS,2026-08-22 14:10:07,Chennai
T0025132,C02864,P001,Laptop,Electronics,1,42754,42754,NETBANKING,FAILED,2026-08-22 03:57:25,Bangalore
T0025133,C03686,P001,Laptop,Electronics,4,43332,173328,CARD,SUCCESS,2026-08-22 19:24:34,Mumbai
T0025134,C00151,P018,Lamp,Home,2,1210,2420,WALLET,SUCCESS,2026-08-22 01:57:02,Pune
T0025135,C02318,P005,Smartwatch,Electronics,2,7629,15258,UPI,SUCCESS,2026-08-22 21:34:57,Chennai
T0025136,C02065,P011,Rice Bag,Grocery,2,1244,2488,WALLET,FAILED,2026-08-22 16:21:47,Mumbai
T0025137,C01097,P019,Bedsheet,Home,2,1392,2784,NETBANKING,SUCCESS,2026-08-22 01:50:08,Pune
T0025138,C03466,P005,Smartwatch,Electronics,5,6492,32460,CARD,SUCCESS,2026-08-22 09:13:31,Kolkata
T0025139,C03749,P002,Mobile,Electronics,4,24915,99660,NETBANKING,SUCCESS,2026-08-22 05:49:40,Noida
T0025140,C01372,P013,Dry Fruits,Grocery,3,1667,5001,COD,SUCCESS,2026-08-22 07:40:45,Jaipur
T0025141,C04505,P012,Cooking Oil,Grocery,1,729,729,CARD,SUCCESS,2026-08-22 03:05:31,Ahmedabad
T0025142,C00181,P014,Flour,Grocery,2,540,1080,COD,SUCCESS,2026-08-22 08:23:30,Pune
T0025143,C04161,P001,Laptop,Electronics,5,45856,229280,NETBANKING,SUCCESS,2026-08-22 02:33:07,Pune
T0025144,C04120,P006,Shoes,Fashion,5,2274,11370,NETBANKING,SUCCESS,2026-08-22 05:35:58,Hyderabad
T0025145,C01462,P003,Headphones,Electronics,5,2757,13785,COD,SUCCESS,2026-08-22 23:49:25,Delhi
T0025146,C02250,P005,Smartwatch,Electronics,4,5964,23856,CARD,SUCCESS,2026-08-22 06:44:49,Pune
T0025147,C04603,P003,Headphones,Electronics,1,2510,2510,COD,SUCCESS,2026-08-22 04:31:37,Delhi
T0025148,C01378,P007,Jeans,Fashion,4,1575,6300,NETBANKING,SUCCESS,2026-08-22 19:49:33,Hyderabad
T0025149,C00611,P012,Cooking Oil,Grocery,1,900,900,WALLET,SUCCESS,2026-08-22 16:03:42,Bangalore
T0025150,C02712,P019,Bedsheet,Home,1,1645,1645,UPI,SUCCESS,2026-08-22 06:45:22,Bangalore
T0025151,C03780,P019,Bedsheet,Home,2,1512,3024,CARD,SUCCESS,2026-08-22 14:15:02,Hyderabad
T0025152,C03022,P004,Television,Electronics,1,32383,32383,UPI,SUCCESS,2026-08-22 08:15:22,Bangalore
T0025153,C04021,P006,Shoes,Fashion,5,2335,11675,NETBANKING,SUCCESS,2026-08-22 11:39:57,Pune
T0025154,C01839,P010,Backpack,Fashion,3,1397,4191,NETBANKING,SUCCESS,2026-08-22 07:03:25,Jaipur
T0025155,C00321,P020,Cookware,Home,1,2655,2655,UPI,SUCCESS,2026-08-22 14:01:51,Chennai
T0025156,C03980,P001,Laptop,Electronics,1,44733,44733,NETBANKING,PENDING,2026-08-22 02:40:32,Bangalore
T0025157,C03590,P011,Rice Bag,Grocery,5,1282,6410,COD,PENDING,2026-08-22 13:17:55,Pune
T0025158,C03481,P004,Television,Electronics,5,30944,154720,UPI,FAILED,2026-08-22 23:39:56,Ahmedabad
T0025159,C00157,P002,Mobile,Electronics,4,23170,92680,UPI,SUCCESS,2026-08-22 15:34:55,Kolkata
T0025160,C02177,P013,Dry Fruits,Grocery,1,1375,1375,CARD,SUCCESS,2026-08-22 12:38:16,Mumbai
T0025161,C02722,P001,Laptop,Electronics,3,47959,143877,NETBANKING,SUCCESS,2026-08-22 02:58:00,Chennai
T0025162,C00337,P015,Tea,Grocery,3,435,1305,UPI,SUCCESS,2026-08-22 02:08:13,Bangalore
T0025163,C04365,P008,Jacket,Fashion,4,2806,11224,CARD,SUCCESS,2026-08-22 18:37:46,Jaipur
T0025164,C02078,P022,Football,Sports,5,1406,7030,CARD,SUCCESS,2026-08-22 19:59:04,Hyderabad
T0025165,C02490,P009,T-Shirt,Fashion,3,962,2886,COD,PENDING,2026-08-22 16:10:17,Pune
T0025166,C04847,P010,Backpack,Fashion,1,1388,1388,COD,SUCCESS,2026-08-22 06:41:40,Noida
T0025167,C04036,P021,Cricket Bat,Sports,2,3574,7148,WALLET,PENDING,2026-08-22 03:06:34,Ahmedabad
T0025168,C00748,P020,Cookware,Home,3,2842,8526,NETBANKING,PENDING,2026-08-22 01:07:53,Chennai
T0025169,C00488,P003,Headphones,Electronics,1,2380,2380,WALLET,SUCCESS,2026-08-22 09:05:52,Jaipur
T0025170,C04243,P004,Television,Electronics,1,29782,29782,WALLET,SUCCESS,2026-08-22 20:24:18,Jaipur
T0025171,C04847,P009,T-Shirt,Fashion,4,1051,4204,CARD,SUCCESS,2026-08-22 10:44:49,Jaipur
T0025172,C01913,P017,Table,Home,3,6300,18900,NETBANKING,SUCCESS,2026-08-22 19:28:25,Jaipur
T0025173,C03692,P005,Smartwatch,Electronics,4,5885,23540,COD,SUCCESS,2026-08-22 05:11:34,Kolkata
T0025174,C03237,P007,Jeans,Fashion,1,1613,1613,COD,PENDING,2026-08-22 15:59:09,Noida
T0025175,C04624,P001,Laptop,Electronics,4,45487,181948,COD,SUCCESS,2026-08-22 16:53:57,Pune
T0025176,C00607,P023,Yoga Mat,Sports,1,833,833,UPI,SUCCESS,2026-08-22 05:20:25,Mumbai
T0025177,C01527,P012,Cooking Oil,Grocery,2,999,1998,CARD,SUCCESS,2026-08-22 13:13:26,Kolkata
T0025178,C00183,P007,Jeans,Fashion,3,1911,5733,COD,SUCCESS,2026-08-22 10:32:39,Ahmedabad
T0025179,C02843,P019,Bedsheet,Home,4,1699,6796,WALLET,SUCCESS,2026-08-22 05:21:47,Noida
T0025180,C01456,P025,Running Shoes,Sports,3,3495,10485,WALLET,SUCCESS,2026-08-22 05:10:56,Noida
T0025181,C04993,P012,Cooking Oil,Grocery,1,959,959,CARD,PENDING,2026-08-22 14:30:05,Chennai
T0025182,C04975,P020,Cookware,Home,4,2795,11180,WALLET,SUCCESS,2026-08-22 15:34:39,Kolkata
T0025183,C04445,P006,Shoes,Fashion,3,2893,8679,UPI,SUCCESS,2026-08-22 08:33:06,Pune
T0025184,C04344,P024,Dumbbells,Sports,3,4375,13125,NETBANKING,SUCCESS,2026-08-22 18:28:13,Pune
T0025185,C03598,P014,Flour,Grocery,5,552,2760,WALLET,SUCCESS,2026-08-22 19:39:51,Mumbai
T0025186,C04860,P012,Cooking Oil,Grocery,5,731,3655,UPI,SUCCESS,2026-08-22 06:20:51,Hyderabad
T0025187,C04393,P014,Flour,Grocery,1,600,600,UPI,PENDING,2026-08-22 05:59:21,Mumbai
T0025188,C03470,P007,Jeans,Fashion,1,2046,2046,CARD,PENDING,2026-08-22 04:56:25,Hyderabad
T0025189,C02998,P016,Chair,Home,2,4004,8008,COD,SUCCESS,2026-08-22 13:42:39,Kolkata
T0025190,C02833,P018,Lamp,Home,2,1426,2852,NETBANKING,SUCCESS,2026-08-22 18:47:07,Noida
T0025191,C00130,P008,Jacket,Fashion,1,3441,3441,WALLET,PENDING,2026-08-22 08:19:06,Bangalore
T0025192,C00121,P012,Cooking Oil,Grocery,3,976,2928,COD,SUCCESS,2026-08-22 09:23:51,Chennai
T0025193,C00224,P014,Flour,Grocery,1,670,670,WALLET,PENDING,2026-08-22 19:39:29,Chennai
T0025194,C01684,P018,Lamp,Home,5,1129,5645,CARD,FAILED,2026-08-22 11:39:55,Chennai
T0025195,C00331,P017,Table,Home,5,7468,37340,WALLET,SUCCESS,2026-08-22 06:47:35,Kolkata
T0025196,C03129,P010,Backpack,Fashion,2,1660,3320,NETBANKING,SUCCESS,2026-08-22 01:37:30,Bangalore
T0025197,C04422,P003,Headphones,Electronics,2,2498,4996,WALLET,SUCCESS,2026-08-22 10:18:08,Mumbai
T0025198,C03747,P012,Cooking Oil,Grocery,3,867,2601,NETBANKING,SUCCESS,2026-08-22 15:07:34,Bangalore
T0025199,C02345,P021,Cricket Bat,Sports,4,4561,18244,WALLET,SUCCESS,2026-08-22 17:23:12,Hyderabad
T0025200,C04870,P014,Flour,Grocery,5,638,3190,COD,PENDING,2026-08-22 15:22:05,Jaipur
T0025201,C03041,P016,Chair,Home,3,4133,12399,WALLET,SUCCESS,2026-08-22 09:46:21,Ahmedabad
T0025202,C03148,P003,Headphones,Electronics,5,2501,12505,CARD,SUCCESS,2026-08-22 02:07:18,Pune
T0025203,C02949,P006,Shoes,Fashion,3,2522,7566,NETBANKING,SUCCESS,2026-08-22 22:25:09,Pune
T0025204,C01968,P023,Yoga Mat,Sports,3,782,2346,WALLET,SUCCESS,2026-08-22 12:17:50,Pune
T0025205,C01660,P002,Mobile,Electronics,1,24914,24914,WALLET,PENDING,2026-08-22 19:25:08,Mumbai
T0025206,C04578,P024,Dumbbells,Sports,5,4833,24165,CARD,SUCCESS,2026-08-22 02:52:57,Chennai
T0025207,C01587,P021,Cricket Bat,Sports,3,4402,13206,NETBANKING,SUCCESS,2026-08-22 18:44:15,Mumbai
T0025208,C01569,P025,Running Shoes,Sports,2,3548,7096,WALLET,SUCCESS,2026-08-22 09:34:24,Bangalore
T0025209,C04355,P008,Jacket,Fashion,3,3505,10515,UPI,PENDING,2026-08-22 13:31:41,Delhi
T0025210,C03686,P023,Yoga Mat,Sports,4,803,3212,UPI,SUCCESS,2026-08-22 20:49:05,Pune
T0025211,C00320,P014,Flour,Grocery,2,646,1292,WALLET,SUCCESS,2026-08-22 16:30:51,Delhi
T0025212,C01664,P006,Shoes,Fashion,4,2313,9252,CARD,SUCCESS,2026-08-22 06:07:19,Ahmedabad
T0025213,C03310,P017,Table,Home,1,7090,7090,CARD,SUCCESS,2026-08-22 01:58:57,Delhi
T0025214,C04298,P024,Dumbbells,Sports,3,4964,14892,COD,SUCCESS,2026-08-22 18:03:15,Chennai
T0025215,C04826,P016,Chair,Home,4,3341,13364,CARD,PENDING,2026-08-22 10:21:46,Ahmedabad
T0025216,C01636,P024,Dumbbells,Sports,3,4667,14001,CARD,SUCCESS,2026-08-22 14:10:08,Chennai
T0025217,C03738,P004,Television,Electronics,2,33814,67628,COD,SUCCESS,2026-08-22 17:42:23,Bangalore
T0025218,C03510,P025,Running Shoes,Sports,4,3855,15420,CARD,SUCCESS,2026-08-22 21:30:45,Delhi
T0025219,C00714,P002,Mobile,Electronics,5,19412,97060,COD,SUCCESS,2026-08-22 22:54:48,Delhi
T0025220,C03658,P023,Yoga Mat,Sports,4,911,3644,NETBANKING,SUCCESS,2026-08-22 11:09:18,Delhi
T0025221,C04678,P017,Table,Home,1,8378,8378,CARD,SUCCESS,2026-08-22 20:51:32,Jaipur
T0025222,C01181,P005,Smartwatch,Electronics,1,5985,5985,WALLET,SUCCESS,2026-08-22 21:20:56,Kolkata
T0025223,C00434,P006,Shoes,Fashion,3,2363,7089,WALLET,SUCCESS,2026-08-22 21:07:41,Kolkata
T0025224,C03890,P019,Bedsheet,Home,3,1498,4494,NETBANKING,SUCCESS,2026-08-22 22:05:00,Kolkata
T0025225,C02881,P001,Laptop,Electronics,3,45190,135570,CARD,FAILED,2026-08-22 08:15:01,Chennai
T0025226,C01825,P013,Dry Fruits,Grocery,5,1269,6345,COD,SUCCESS,2026-08-22 11:24:14,Chennai
T0025227,C04520,P010,Backpack,Fashion,4,1463,5852,WALLET,SUCCESS,2026-08-22 17:32:27,Jaipur
T0025228,C01643,P014,Flour,Grocery,4,655,2620,NETBANKING,FAILED,2026-08-22 17:37:17,Delhi
T0025229,C03516,P004,Television,Electronics,1,32630,32630,COD,SUCCESS,2026-08-22 15:52:56,Jaipur
T0025230,C02377,P013,Dry Fruits,Grocery,5,1212,6060,UPI,SUCCESS,2026-08-22 23:14:09,Hyderabad
T0025231,C00716,P015,Tea,Grocery,2,405,810,CARD,SUCCESS,2026-08-22 09:52:16,Pune
T0025232,C03206,P006,Shoes,Fashion,2,2186,4372,NETBANKING,SUCCESS,2026-08-22 17:20:23,Noida
T0025233,C01158,P021,Cricket Bat,Sports,2,4693,9386,NETBANKING,SUCCESS,2026-08-22 07:23:27,Hyderabad
